id,fullName,shortName,city,country
1,M. A. Chidambaram Stadium,Chidambaram,Chennai,India
2,Eden Gardens,Eden Gardens,Kolkata,India
3,Sawai Mansingh Stadium,Sawai Mansingh Stadium,Jaipur,India
4,Wankhede Stadium,Wankhede Stadium,Mumbai,India
5,M. Chinnaswamy Stadium,M. Chinnaswamy Stadium,Bengaluru,India
6,ACA-VDCA Stadium,ACA-VDCA Stadium,Visakhapatnam,India
7,Maharashtra Cricket Association's International Stadium,Maharashtra Cricket Association's International Stadium,Pune,India
8,Arun Jaitley Stadium,Arun Jaitley Stadium,Delhi,India
9,IS Bindra Stadium,IS Bindra Stadium,Mohali,India
10,Rajiv Gandhi Intl. Cricket Stadium,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,India
11,HPCA Stadium,HPCA Stadium,Dharamsala,India
14,Barabati Stadium,Barabati Stadium,Cuttack,India
17,Holkar Cricket Stadium,Holkar Cricket Stadium,Indore,India
18,Brabourne Stadium,Brabourne Stadium,Mumbai,India
19,Narendra Modi Stadium,Narendra Modi Stadium,Ahmedabad,India
20,Vidarbha Cricket Association Stadium,Vidarbha Cricket Association Stadium,Nagpur,India
21,Newlands,Newlands,Cape Town,South Africa
22,St George's Park,St George's Park,Port Elizabeth,South Africa
23,Kingsmead,Kingsmead,Durban,South Africa
24,Supersport Park,Supersport Park,Centurion,South Africa
25,Buffalo Park,Buffalo Park,East London,South Africa
26,New Wanderers Stadium,New Wanderers Stadium,Johannesburg,South Africa
27,De Beers Diamond Oval,De Beers Diamond Oval,Kimberley,South Africa
33,R Premadasa Stadium,R Premadasa Stadium,Colombo,Sri Lanka
34,Mahinda Rajapaksa International Cricket Stadium,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka
35,Pallekele International Cricket Stadium,Pallekele International Cricket Stadium,Pallekele,Sri Lanka
36,Galle International Stadium,Galle International Stadium,Galle,Sri Lanka
37,Dubai International Stadium,Dubai International Stadium,Dubai,UAE
38,Emirates Riverside,Emirates Riverside,Chester-le-Street,England
39,Old Trafford,Old Trafford,Manchester,England
40,Edgbaston,Edgbaston,Birmingham,England
41,The Gabba,Brisbane Cricket Ground,Brisbane,Australia
42,Adelaide Oval,Adelaide Oval,Adelaide,Australia
43,WACA,WACA,Perth,Australia
44,Saurashtra Cricket Association Stadium,Saurashtra Cricket Association Stadium,Rajkot,India
45,Nehru Stadium,Nehru Stadium,Kochi,India
46,HEC International Cricket Stadium Complex,HEC International Cricket Stadium Complex,Ranchi,India
48,Sydney Cricket Ground,SCG,Sydney,Australia
51,Melbourne Cricket Ground,MCG,Melbourne,Australia
52,Bellerive Oval,Bellerive Oval,Hobart,Australia
53,Boland Park,Boland Park,Paarl,South Africa
54,JB Marks Oval,JB Marks Oval,Potchefstroom,South Africa
55,JSCA International Cricket Stadium,JSCA Stadium,Ranchi,India
58,Manuka Oval,Manuka Oval,Canberra,Australia
62,Mangaung Oval,Mangaung Oval,Bloemfontein,South Africa
63,Willowmoore Park,Willowmoore Park,Benoni,South Africa
64,National Cricket Stadium,National Cricket Stadium,St George's,West Indies
65,Sir Vivian Richards Stadium,Sir Vivian Richards Stadium,North Sound,West Indies
66,Kensington Oval,Kensington Oval,Bridgetown,West Indies
68,Cardiff Wales Stadium,Cardiff Wales Stadium,Cardiff,Wales
69,The Oval,The Oval,London ,England
70,Trent Bridge,Trent Bridge,Nottingham,England
71,Lord's,Lord's Cricket Ground,London,England
72,The Ageas Bowl,The Ageas Bowl,Southampton,England
73,Headingley,Headingley,Leeds,England
74,Queens Sports Club,Queens Sports Club,Bulawayo,Zimbabwe
75,Grange Cricket Club Ground,Grange Cricket Club Ground,Edinburgh,Scotland
76,Clontarf Cricket Club Ground,Clontarf Cricket Club Ground,Dublin,Ireland
77,VRA Cricket Ground,VRA Cricket Ground,Amstelveen,Netherlands
78,Sabina Park,Sabina Park,Kingston,West Indies
79,Queen's Park Oval,Queen's Park Oval,Port of Spain,West Indies
81,Anglesea Road,Anglesea Road,Dublin,Ireland
82,The Oval,The Oval,London,England
84,Harare Sports Club,Harare Sports Club,Harare,Zimbabwe
85,Mannofield Park,Mannofield Park,Aberdeen,Scotland
87,Wanderers Cricket Ground,Wanderers Cricket Ground,Windhoek,Namibia
88,Sportpark Het Schootsveld,Sportpark Het Schootsveld,Deventer,Netherlands
89,Hagley Oval,Hagley Oval,Christchurch,New Zealand
90,Eden Park,Eden Park,Auckland,New Zealand
91,McLean Park,McLean Park,Napier,New Zealand
92,Wellington Regional Stadium,Wellington Regional Stadium,Wellington,New Zealand
93,Saxton Oval,Saxton Oval,Nelson,New Zealand
94,University Oval,University Oval,Dunedin,New Zealand
95,Seddon Park,Seddon Park,Hamilton,New Zealand
96,Bert Sutcliffe Oval,Bert Sutcliffe Oval,Christchurch,New Zealand
99,Providence Stadium,Providence Stadium,Providence,West Indies
100,Daren Sammy National Cricket Stadium,Daren Sammy National Cricket Stadium,Gros Islet,West Indies
102,Zayed Cricket Stadium,Zayed Cricket Stadium,Abu Dhabi,UAE
104,Sharjah Cricket Stadium,Sharjah Cricket Stadium,Sharjah,UAE
112,Malahide,Malahide,Dublin,Ireland
113,Basin Reserve,Basin Reserve,Wellington,New Zealand
114,John Davies Oval,John Davies Oval,Queenstown,New Zealand
115,Westpac Stadium,Westpac Stadium,Wellington,New Zealand
117,Civil Service Cricket Club,Civil Service Cricket Club,Belfast,Northern Ireland
122,Zahur Ahmed Chowdhury Stadium,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh
123,Sher-e-Bangla National Cricket Stadium,Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh
124,Khan Shaheb Osman Ali Stadium,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh
125,Sylhet International Cricket Stadium,Sylhet International Cricket Stadium,Sylhet,Bangladesh
126,Rangiri Dambulla International Stadium,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka
128,ICC Academy,ICC Academy,Dubai,UAE
131,Green Park,Green Park,Kanpur,India
132,Bay Oval,Bay Oval,Tauranga,New Zealand
134,Pukekura Park,Pukekura Park,New Plymouth,New Zealand
161,Indore,Indore,Indore,India
175,Pune,Pune,Pune,India
179,Visakhapatnam,Visakhapatnam,Visakhapatnam,India
216,Chandigarh,Chandigarh,Chandigarh,India
219,Kinrara Oval,Kinrara Oval,Kuala Lumpur,Malaysia
222,Sinhalese Sports Club Ground,Sinhalese Sports Club Ground,Colombo,Sri Lanka
223,Bristol County Ground,Bristol County Ground,Bristol,England
225,Warner Park,Warner Park,Basseterre,West Indies
247,Arbab Niaz Stadium,Arbab Niaz Stadium,Peshawar,Pakistan
248,Asgiriya Stadium,Asgiriya Stadium,Kandy,Sri Lanka
249,Berri Oval,Berri Oval,Berri,Australia
250,Captain Roop Singh Stadium,Captain Roop Singh Stadium,Gwalior,India
251,Carisbrook,Carisbrook,Dunedin,New Zealand
252,Castle Avenue,Castle Avenue,Dublin,Ireland
253,Chittagong Divisional Stadium,Chittagong Divisional Stadium,Chittagong,Bangladesh
254,City Oval,City Oval,Pietermaritzburg,South Africa
255,The Cloudfm County Ground,The Cloudfm County Ground,Chelmsford,England
256,County Ground,County Ground,Derby,England
257,The 1st Central County Ground,The 1st Central County Ground,Hove,England
258,County Ground,County Ground,Worcester,England
259,The County Ground,The County Ground,Northampton,England
260,The County Ground,The County Ground,Taunton,England
261,Eastern Oval,Eastern Oval,Ballarat,Australia
262,Gaddafi Stadium,Gaddafi Stadium,Lahore,Pakistan
263,Grace Road,Grace Road,Leicester,England
264,Gymkhana Club Ground,Gymkhana Club Ground,Nairobi,Kenya
265,Iqbal Stadium,Iqbal Stadium,Faisalabad,Pakistan
266,Jinnah Stadium,Jinnah Stadium,Gujranwala,Pakistan
267,Lal Bahadur Shastri Stadium,Lal Bahadur Shastri Stadium,Hyderabad,India
268,Lancaster Park,Lancaster Park,Christchurch,New Zealand
269,Lavington Sports Oval,Lavington Sports Oval,Albury,Australia
270,Modi Stadium,Modi Stadium,Kanpur,India
271,Moin-ul-Haq Stadium,Moin-ul-Haq Stadium,Patna,India
272,National Stadium,National Stadium,Karachi,Pakistan
273,Niaz Stadium,Niaz Stadium,Hyderabad,Pakistan
274,Pindi Club Ground,Pindi Club Ground,Rawalpindi,Pakistan
275,Rawalpindi Cricket Stadium,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan
276,Ray Mitchell Oval,Ray Mitchell Oval,Mackay,Australia
277,Reliance Cricket Stadium,Reliance Cricket Stadium,Vadodara,India
278,St Helen's,St Helen's,Swansea,Wales
279,St Lawrence Ground,St Lawrence Ground,Canterbury,England
280,The Nevill Ground,The Nevill Ground,Tunbridge Wells,England
281,United Cricket Club Ground,United Cricket Club Ground,Windhoek,Namibia
282,Affies Park,Affies Park,Windhoek,Namibia
289,Hazelaarweg,Hazelaarweg,Rotterdam,Netherlands
314,Tony Ireland Stadium,Tony Ireland Stadium,Townsville,Australia
319,Greater Noida Sports Complex Ground,Greater Noida Sports Complex Ground,Uttar Pradesh,India
321,Amini Park,Amini Park,Port Moresby,Papua New Guinea
327,Central Broward Regional Park Stadium Turf Ground,Central Broward Regional Park Stadium Turf Ground,Lauderhill,USA
373,Maharashtra Cricket Association Stadium,Maharashtra Cricket Association Stadium,Pune,India
374,M.Chinnaswamy Stadium,M.Chinnaswamy Stadium,Bangalore,India
375,JSCA International Stadium Complex,JSCA International Stadium Complex,Ranchi,India
376,Himachal Pradesh Cricket Association Stadium,Himachal Pradesh Cricket Association Stadium,Dharamsala,India
379,Greater Noida Sports Complex Ground,Greater Noida Sports Complex Ground,Greater Noida,India
391,The Village,The Village,Dublin,Ireland
392,Clontarf Cricket Club,Clontarf Cricket Club,Dublin,Ireland
393,The Grange,The Grange,Edinburgh,Scotland
394,Brisbane Cricket Ground,Brisbane Cricket Ground,Brisbane,Australia
395,Blundstone Arena,Blundstone Arena,Hobart,Australia
401,Sportpark Maarschalkerweerd,Sportpark Maarschalkerweerd,Utrecht,Netherlands
412,Brian Lara Stadium,Brian Lara Cricket Academy,Tarouba,Trinidad & Tobago
427,Cobham Oval,Cobham Oval,Whangarei,New Zealand
429,Cazaly's Stadium,Cazaly's Stadium,Cairns,Australia
441,Barsapara Cricket Ground,Barsapara Cricket Ground,Guwahati,India
442,Rajiv Gandhi International Stadium,Rajiv Gandhi International Stadium,Hyderabad,India
444,Greenfield Stadium,Greenfield Stadium,Thiruvananthapuram,India
449,Punjab Cricket Association Stadium,Punjab Cricket Association Stadium,"Mohali, Chandigarh",India
458,Perth Stadium,Perth Stadium,Perth,Australia
465,Old Hararians Sports Club,Old Hararians Sports Club,Harare,Zimbabwe
467,Bulawayo Athletic Club,Bulawayo Athletic Club,Bulawayo,Zimbabwe
478,Bready,Bready,Derry,Northern Ireland
486,Rajiv Gandhi International Cricket Stadium,Rajiv Gandhi International Cricket Stadium,Dehradun,India
527,OC Turf 1,OC Turf 1,Al Amarat,Oman
528,OC Turf 2,OC Turf 2,Al Amarat,Oman
531,Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,Lucknow,India
588,Oman Cricket Academy Ground,Oman Cricket Academy Ground,Al Amerat,Oman
942,Al Amerat Cricket Ground 2,Al Amerat Cricket Ground 2,Al Amerat,Oman
1010,Tribhuvan University International Cricket Ground,Tribhuvan University International Cricket Ground,Kirtipur,Nepal
1013,Wanderers,Wanderers,Windhoek,Namibia
1057,West End Park International Cricket Stadium,West End Park International Cricket Stadium,Doha,Qatar
1503,Harare Sports Club,,,
100001,Pallekele International Cricket Stadium,,,
100008,County Ground,,Chelmsford,
100009,The Village,,Malahide,
100013,R.Premadasa Stadium,,Khettarama,
100014,Grange Cricket Club,,Raeburn Place,
100016,Moosa Stadium,,Pearland,
100018,Titwood,,Glasgow,
100019,New Cambusdoon Ground,,Ayr,
100021,Multan Cricket Stadium,,,
100027,Bulawayo Athletic Club,,,
100112,Rajiv Gandhi International Stadium,,Uppal,
100113,Barsapara Cricket Stadium,,Guwahati,
100144,Sylhet International Cricket Stadium,,Sylhet,
100148,De Beers Diamond Oval,,,
100165,Shaheed Veer Narayan Singh International Cricket Stadium,,,
100178,YS Raja Reddy Stadium,,Kadapa,
100187,United Cricket Club Ground,,,
100194,Mahinda Rajapaksa International Cricket Stadium,,Sooriyawewa,
100236,Takashinga Sports Club,,,
